Ticker,Name,Sector,Month,Return%
^GSPC,SP500,Index,2025-07,2.17
^GSPC,SP500,Index,2025-08,1.91
^GSPC,SP500,Index,2025-09,3.53
^GSPC,SP500,Index,2025-10,2.27
^GSPC,SP500,Index,2025-11,0.13
^GSPC,SP500,Index,2025-12,-0.05
^GSPC,SP500,Index,2026-01,1.37
^GSPC,SP500,Index,2026-02,-0.87
^GSPC,SP500,Index,2026-03,-5.09
^GSPC,SP500,Index,2026-04,10.42
^GSPC,SP500,Index,2026-05,2.83
^IXIC,NASDAQ,Index,2025-06,6.57
^IXIC,NASDAQ,Index,2025-07,3.7
^IXIC,NASDAQ,Index,2025-08,1.58
^IXIC,NASDAQ,Index,2025-09,5.61
^IXIC,NASDAQ,Index,2025-10,4.7
^IXIC,NASDAQ,Index,2025-11,-1.51
^IXIC,NASDAQ,Index,2025-12,-0.53
^IXIC,NASDAQ,Index,2026-01,0.95
^IXIC,NASDAQ,Index,2026-02,-3.38
^IXIC,NASDAQ,Index,2026-03,-4.75
^IXIC,NASDAQ,Index,2026-04,15.29
^IXIC,NASDAQ,Index,2026-05,5.55
^DJI,DowJones,Index,2025-06,4.32
^DJI,DowJones,Index,2025-07,0.08
^DJI,DowJones,Index,2025-08,3.2
^DJI,DowJones,Index,2025-09,1.87
^DJI,DowJones,Index,2025-10,2.51
^DJI,DowJones,Index,2025-11,0.32
^DJI,DowJones,Index,2025-12,0.73
^DJI,DowJones,Index,2026-01,1.73
^DJI,DowJones,Index,2026-02,0.17
^DJI,DowJones,Index,2026-03,-5.38
^DJI,DowJones,Index,2026-04,7.14
^DJI,DowJones,Index,2026-05,0.11
^RUT,Russell2000,Index,2025-06,5.26
^RUT,Russell2000,Index,2025-07,1.68
^RUT,Russell2000,Index,2025-08,7.0
^RUT,Russell2000,Index,2025-09,2.96
^RUT,Russell2000,Index,2025-10,1.76
^RUT,Russell2000,Index,2025-11,0.85
^RUT,Russell2000,Index,2025-12,-0.74
^RUT,Russell2000,Index,2026-01,5.31
^RUT,Russell2000,Index,2026-02,0.71
^RUT,Russell2000,Index,2026-03,-5.17
^RUT,Russell2000,Index,2026-04,12.16
^RUT,Russell2000,Index,2026-05,2.53
^VIX,VIX,Index,2025-06,-9.91
^VIX,VIX,Index,2025-07,-0.06
^VIX,VIX,Index,2025-08,-8.13
^VIX,VIX,Index,2025-09,5.99
^VIX,VIX,Index,2025-10,7.13
^VIX,VIX,Index,2025-11,-6.25
^VIX,VIX,Index,2025-12,-8.56
^VIX,VIX,Index,2026-01,16.66
^VIX,VIX,Index,2026-02,13.88
^VIX,VIX,Index,2026-03,27.14
^VIX,VIX,Index,2026-04,-33.11
^VIX,VIX,Index,2026-05,8.82
^SOX,PHLX_Semiconductor,Index,2025-06,16.57
^SOX,PHLX_Semiconductor,Index,2025-07,1.11
^SOX,PHLX_Semiconductor,Index,2025-08,1.09
^SOX,PHLX_Semiconductor,Index,2025-09,12.36
^SOX,PHLX_Semiconductor,Index,2025-10,13.48
^SOX,PHLX_Semiconductor,Index,2025-11,-2.82
^SOX,PHLX_Semiconductor,Index,2025-12,0.83
^SOX,PHLX_Semiconductor,Index,2026-01,12.92
^SOX,PHLX_Semiconductor,Index,2026-02,1.25
^SOX,PHLX_Semiconductor,Index,2026-03,-6.3
^SOX,PHLX_Semiconductor,Index,2026-04,38.42
^SOX,PHLX_Semiconductor,Index,2026-05,15.02
